Wavenumber,Intensity
200.00000000000000000192,0.52961677
200.99866844207723036144,0.52513864
201.99733688415446072096,0.54081997
202.99600532623169108048,0.55685085
203.99467376830892144000,0.53986012
204.99334221038615179952,0.53412811
205.99201065246338215904,0.53671795
206.99067909454061251856,0.55180526
207.98934753661784287808,0.57246509
208.98801597869507323760,0.57826106
209.98668442077230359712,0.58352213
210.98535286284953395664,0.59047677
211.98402130492676431616,0.59113805
212.98268974700399467568,0.60259514
213.98135818908122503520,0.61133976
214.98002663115845539472,0.59513276
215.97869507323568575424,0.60253299
216.97736351531291611376,0.61190138
217.97603195739014647328,0.62095336
218.97470039946737683280,0.62407249
219.97336884154460719232,0.62640008
220.97203728362183755184,0.63690668
221.97070572569906791136,0.65141786
222.96937416777629827088,0.65154142
223.96804260985352863040,0.64897946
224.96671105193075898992,0.65417444
225.96537949400798934944,0.64596725
226.96404793608521970896,0.63688648
227.96271637816245006848,0.64102442
228.96138482023968042800,0.64889696
229.96005326231691078752,0.64435416
230.95872170439414114704,0.61687121
231.95739014647137150656,0.60186492
232.95605858854860186608,0.56214676
233.95472703062583222560,0.55346917
234.95339547270306258512,0.53730845
235.95206391478029294464,0.50564765
236.95073235685752330416,0.48591322
237.94940079893475366368,0.47969293
238.94806924101198402320,0.46187775
239.94673768308921438272,0.43172195
240.94540612516644474224,0.40572034
241.94407456724367510176,0.36200018
242.94274300932090546128,0.33429295
243.94141145139813582080,0.33898925
244.94007989347536618032,0.32851781
245.93874833555259653984,0.30768949
246.93741677762982689936,0.27525687
247.93608521970705725888,0.2574524
248.93475366178428761840,0.24154935
249.93342210386151797792,0.225778
250.93209054593874833744,0.23534238
251.93075898801597869696,0.21399292
252.92942743009320905648,0.19866409
253.92809587217043941600,0.21363079
254.92676431424766977552,0.23062146
255.92543275632490013504,0.18137966
256.92410119840213049456,0.17059596
257.92276964047936085408,0.16337604
258.92143808255659121360,0.18514902
259.92010652463382157312,0.17965363
260.91877496671105193264,0.18220198
261.91744340878828229216,0.17967701
262.91611185086551265168,0.16773202
263.91478029294274301120,0.16146351
264.91344873501997337072,0.15641089
265.91211717709720373024,0.14458007
266.91078561917443408976,0.16863026
267.90945406125166444928,0.17436859
268.90812250332889480880,0.14844242
269.90679094540612516832,0.15245863
270.90545938748335552784,0.14598382
271.90412782956058588736,0.15241236
272.90279627163781624688,0.1558251
273.90146471371504660640,0.15337099
274.90013315579227696592,0.15776818
275.89880159786950732544,0.1397374
276.89747003994673768496,0.13661571
277.89613848202396804448,0.14772128
278.89480692410119840400,0.14422806
279.89347536617842876352,0.14280533
280.89214380825565912304,0.13192071
281.89081225033288948256,0.13931037
282.88948069241011984208,0.14110243
283.88814913448735020160,0.14477704
284.88681757656458056112,0.14610217
285.88548601864181092064,0.13157617
286.88415446071904128016,0.12351707
287.88282290279627163968,0.13865718
288.88149134487350199920,0.11741014
289.88015978695073235872,0.12519428
290.87882822902796271824,0.11824664
291.87749667110519307776,0.11739207
292.87616511318242343728,0.11872607
